date_key,date,day,week,month,quarter,year
D000131,03-03-2014,3,1st Week,3,Q1,2014
D000132,01-07-2018,1,1st Week,7,Q3,2018
D000133,20-05-2019,20,3rd Week,5,Q2,2019
D000134,04-05-2018,4,1st Week,5,Q2,2018
D000135,07-06-2019,7,1st Week,6,Q2,2019
D000136,28-06-2014,28,4th Week,6,Q2,2014
D000137,12-05-2015,12,2nd Week,5,Q2,2015
D000138,30-03-2014,30,4th Week,3,Q1,2014
D000139,01-06-2018,1,1st Week,6,Q2,2018
D000140,11-01-2017,11,2nd Week,1,Q1,2017
D000141,24-07-2019,24,4th Week,7,Q3,2019
D000142,13-04-2014,13,2nd Week,4,Q2,2014
D000143,15-10-2014,15,3rd Week,10,Q4,2014
D000144,21-07-2015,21,3rd Week,7,Q3,2015
D000145,02-03-2020,2,1st Week,3,Q1,2020
D000146,18-02-2017,18,3rd Week,2,Q1,2017
D000147,06-04-2020,6,1st Week,4,Q2,2020
D000148,21-05-2017,21,3rd Week,5,Q2,2017
D000149,31-10-2015,31,4th Week,10,Q4,2015
D000150,23-07-2019,23,4th Week,7,Q3,2019
D000151,04-12-2015,4,1st Week,12,Q4,2015
D000152,29-12-2020,29,4th Week,12,Q4,2020
D000153,08-11-2017,8,2nd Week,11,Q4,2017
D000154,03-01-2020,3,1st Week,1,Q1,2020
D000155,10-02-2015,10,2nd Week,2,Q1,2015
D000156,30-11-2016,30,4th Week,11,Q4,2016
D000157,19-05-2017,19,3rd Week,5,Q2,2017
D000158,05-04-2019,5,1st Week,4,Q2,2019
D000159,28-05-2014,28,4th Week,5,Q2,2014
D000160,21-10-2020,21,3rd Week,10,Q4,2020
D000161,07-09-2015,7,1st Week,9,Q3,2015
D000162,09-02-2019,9,2nd Week,2,Q1,2019
D000163,14-03-2015,14,2nd Week,3,Q1,2015
D000164,08-07-2017,8,2nd Week,7,Q3,2017
D000165,08-10-2015,8,2nd Week,10,Q4,2015
D000166,17-10-2019,17,3rd Week,10,Q4,2019
D000167,20-03-2016,20,3rd Week,3,Q1,2016
D000168,10-03-2018,10,2nd Week,3,Q1,2018
D000169,20-09-2017,20,3rd Week,9,Q3,2017
D000170,20-08-2016,20,3rd Week,8,Q3,2016
D000171,19-06-2020,19,3rd Week,6,Q2,2020
D000172,14-01-2018,14,2nd Week,1,Q1,2018
D000173,23-05-2018,23,4th Week,5,Q2,2018
D000174,23-05-2020,23,4th Week,5,Q2,2020
D000175,12-11-2014,12,2nd Week,11,Q4,2014
D000176,22-02-2015,22,4th Week,2,Q1,2015
D000177,09-05-2019,9,2nd Week,5,Q2,2019
D000178,12-10-2018,12,2nd Week,10,Q4,2018
D000179,16-03-2020,16,3rd Week,3,Q1,2020
D000180,28-05-2017,28,4th Week,5,Q2,2017
D000181,21-11-2017,21,3rd Week,11,Q4,2017
D000182,02-08-2019,2,1st Week,8,Q3,2019
D000183,10-10-2015,10,2nd Week,10,Q4,2015
D000184,24-11-2016,24,4th Week,11,Q4,2016
D000185,20-04-2019,20,3rd Week,4,Q2,2019
D000186,07-12-2020,7,1st Week,12,Q4,2020
D000187,09-12-2014,9,2nd Week,12,Q4,2014
D000188,15-11-2020,15,3rd Week,11,Q4,2020
D000189,10-04-2015,10,2nd Week,4,Q2,2015
D000190,12-08-2019,12,2nd Week,8,Q3,2019
D000191,24-08-2020,24,4th Week,8,Q3,2020
D000192,03-12-2017,3,1st Week,12,Q4,2017
D000193,08-09-2019,8,2nd Week,9,Q3,2019
D000194,14-12-2018,14,2nd Week,12,Q4,2018
D000195,19-02-2014,19,3rd Week,2,Q1,2014
D000196,06-02-2018,6,1st Week,2,Q1,2018
D000197,24-05-2017,24,4th Week,5,Q2,2017
D000198,22-05-2014,22,4th Week,5,Q2,2014
D000199,07-10-2017,7,1st Week,10,Q4,2017
D000200,01-07-2015,1,1st Week,7,Q3,2015
D000201,19-11-2018,19,3rd Week,11,Q4,2018
D000202,25-08-2018,25,4th Week,8,Q3,2018
D000203,02-03-2017,2,1st Week,3,Q1,2017
D000204,18-01-2019,18,3rd Week,1,Q1,2019
D000205,06-08-2018,6,1st Week,8,Q3,2018
D000206,14-09-2016,14,2nd Week,9,Q3,2016
D000207,17-08-2016,17,3rd Week,8,Q3,2016
D000208,12-05-2019,12,2nd Week,5,Q2,2019
D000209,27-08-2015,27,4th Week,8,Q3,2015
D000210,18-04-2016,18,3rd Week,4,Q2,2016
D000211,30-08-2014,30,4th Week,8,Q3,2014
D000212,07-05-2019,7,1st Week,5,Q2,2019
D000213,19-12-2018,19,3rd Week,12,Q4,2018
D000214,22-07-2017,22,4th Week,7,Q3,2017
D000215,31-05-2017,31,4th Week,5,Q2,2017
D000216,04-11-2014,4,1st Week,11,Q4,2014
D000217,13-06-2014,13,2nd Week,6,Q2,2014
D000218,14-11-2014,14,2nd Week,11,Q4,2014
D000219,10-05-2020,10,2nd Week,5,Q2,2020
D000220,04-02-2019,4,1st Week,2,Q1,2019
D000221,26-12-2017,26,4th Week,12,Q4,2017
D000222,17-04-2019,17,3rd Week,4,Q2,2019
D000223,29-04-2015,29,4th Week,4,Q2,2015
D000224,11-05-2015,11,2nd Week,5,Q2,2015
D000225,19-03-2019,19,3rd Week,3,Q1,2019
D000226,09-08-2017,9,2nd Week,8,Q3,2017
D000227,03-01-2016,3,1st Week,1,Q1,2016
D000228,25-11-2015,25,4th Week,11,Q4,2015
D000229,11-08-2016,11,2nd Week,8,Q3,2016
D000230,24-12-2017,24,4th Week,12,Q4,2017
D000231,16-05-2015,16,3rd Week,5,Q2,2015
D000232,28-04-2020,28,4th Week,4,Q2,2020
D000233,09-08-2018,9,2nd Week,8,Q3,2018
D000234,09-11-2019,9,2nd Week,11,Q4,2019
D000235,24-02-2015,24,4th Week,2,Q1,2015
D000236,27-07-2014,27,4th Week,7,Q3,2014
D000237,13-06-2016,13,2nd Week,6,Q2,2016
D000238,08-09-2015,8,2nd Week,9,Q3,2015
D000239,29-06-2016,29,4th Week,6,Q2,2016
D000240,21-08-2018,21,3rd Week,8,Q3,2018
D000241,28-06-2017,28,4th Week,6,Q2,2017
D000242,31-12-2014,31,4th Week,12,Q4,2014
D000243,24-09-2014,24,4th Week,9,Q3,2014
D000244,01-02-2014,1,1st Week,2,Q1,2014
D000245,04-10-2017,4,1st Week,10,Q4,2017
D000246,03-02-2015,3,1st Week,2,Q1,2015
D000247,02-06-2018,2,1st Week,6,Q2,2018
D000248,26-06-2020,26,4th Week,6,Q2,2020
D000249,09-09-2015,9,2nd Week,9,Q3,2015
D000250,29-08-2015,29,4th Week,8,Q3,2015
D000251,15-08-2020,15,3rd Week,8,Q3,2020
D000252,26-10-2018,26,4th Week,10,Q4,2018
D000253,17-01-2018,17,3rd Week,1,Q1,2018
D000254,27-03-2020,27,4th Week,3,Q1,2020
D000255,18-01-2017,18,3rd Week,1,Q1,2017
D000256,19-10-2018,19,3rd Week,10,Q4,2018
D000257,31-08-2014,31,4th Week,8,Q3,2014
D000258,28-03-2017,28,4th Week,3,Q1,2017
D000259,30-03-2020,30,4th Week,3,Q1,2020
D000260,18-10-2017,18,3rd Week,10,Q4,2017
D000261,28-07-2018,28,4th Week,7,Q3,2018
D000262,24-08-2018,24,4th Week,8,Q3,2018
D000263,22-06-2016,22,4th Week,6,Q2,2016
D000264,28-12-2018,28,4th Week,12,Q4,2018
D000265,06-03-2020,6,1st Week,3,Q1,2020
D000266,05-09-2015,5,1st Week,9,Q3,2015
D000267,07-11-2020,7,1st Week,11,Q4,2020
D000268,11-09-2019,11,2nd Week,9,Q3,2019
D000269,03-11-2016,3,1st Week,11,Q4,2016
D000270,16-04-2014,16,3rd Week,4,Q2,2014
D000271,12-08-2018,12,2nd Week,8,Q3,2018
D000272,12-02-2015,12,2nd Week,2,Q1,2015
D000273,04-06-2017,4,1st Week,6,Q2,2017
D000274,19-04-2014,19,3rd Week,4,Q2,2014
D000275,03-03-2017,3,1st Week,3,Q1,2017
D000276,19-05-2018,19,3rd Week,5,Q2,2018
D000277,15-04-2014,15,3rd Week,4,Q2,2014
D000278,18-10-2014,18,3rd Week,10,Q4,2014
D000279,12-11-2019,12,2nd Week,11,Q4,2019
D000280,20-11-2019,20,3rd Week,11,Q4,2019
D000281,07-06-2014,7,1st Week,6,Q2,2014
D000282,07-10-2020,7,1st Week,10,Q4,2020
D000283,13-11-2014,13,2nd Week,11,Q4,2014
D000284,10-11-2019,10,2nd Week,11,Q4,2019
D000285,10-06-2020,10,2nd Week,6,Q2,2020
D000286,27-04-2014,27,4th Week,4,Q2,2014
D000287,04-09-2019,4,1st Week,9,Q3,2019
D000288,28-08-2015,28,4th Week,8,Q3,2015
D000289,07-01-2021,7,1st Week,1,Q1,2021
D000290,03-01-2019,3,1st Week,1,Q1,2019
D000291,13-11-2016,13,2nd Week,11,Q4,2016
D000292,10-01-2020,10,2nd Week,1,Q1,2020
D000293,22-01-2015,22,4th Week,1,Q1,2015
D000294,16-10-2020,16,3rd Week,10,Q4,2020
D000295,23-05-2019,23,4th Week,5,Q2,2019
D000296,13-03-2019,13,2nd Week,3,Q1,2019
D000297,31-10-2017,31,4th Week,10,Q4,2017
D000298,28-03-2016,28,4th Week,3,Q1,2016
D000299,11-03-2020,11,2nd Week,3,Q1,2020
D000300,14-05-2014,14,2nd Week,5,Q2,2014
D000301,15-02-2015,15,3rd Week,2,Q1,2015
D000302,21-11-2018,21,3rd Week,11,Q4,2018
D000303,08-08-2014,8,2nd Week,8,Q3,2014
D000304,16-02-2020,16,3rd Week,2,Q1,2020
D000305,01-10-2020,1,1st Week,10,Q4,2020
D000306,01-01-2015,1,1st Week,1,Q1,2015
D000307,03-01-2018,3,1st Week,1,Q1,2018
D000308,13-01-2017,13,2nd Week,1,Q1,2017
D000309,02-11-2019,2,1st Week,11,Q4,2019
D000310,27-11-2016,27,4th Week,11,Q4,2016
D000311,17-02-2018,17,3rd Week,2,Q1,2018
D000312,20-02-2018,20,3rd Week,2,Q1,2018
D000313,22-06-2017,22,4th Week,6,Q2,2017
D000314,10-10-2017,10,2nd Week,10,Q4,2017
D000315,06-08-2014,6,1st Week,8,Q3,2014
D000316,27-05-2015,27,4th Week,5,Q2,2015
D000317,27-02-2016,27,4th Week,2,Q1,2016
D000318,17-07-2018,17,3rd Week,7,Q3,2018
D000319,21-10-2015,21,3rd Week,10,Q4,2015
D000320,03-12-2014,3,1st Week,12,Q4,2014
D000321,04-02-2018,4,1st Week,2,Q1,2018
D000322,28-08-2018,28,4th Week,8,Q3,2018
D000323,20-02-2017,20,3rd Week,2,Q1,2017
D000324,21-12-2018,21,3rd Week,12,Q4,2018
D000325,17-05-2019,17,3rd Week,5,Q2,2019
D000326,28-09-2017,28,4th Week,9,Q3,2017
D000327,12-07-2014,12,2nd Week,7,Q3,2014
D000328,12-07-2017,12,2nd Week,7,Q3,2017
D000329,31-03-2015,31,4th Week,3,Q1,2015
D000330,04-11-2018,4,1st Week,11,Q4,2018
D000331,09-06-2014,9,2nd Week,6,Q2,2014
D000332,18-03-2019,18,3rd Week,3,Q1,2019
D000333,08-01-2017,8,2nd Week,1,Q1,2017
D000334,19-06-2015,19,3rd Week,6,Q2,2015
D000335,28-10-2014,28,4th Week,10,Q4,2014
D000336,30-08-2017,30,4th Week,8,Q3,2017
D000337,20-09-2014,20,3rd Week,9,Q3,2014
D000338,14-11-2016,14,2nd Week,11,Q4,2016
D000339,22-06-2019,22,4th Week,6,Q2,2019
D000340,25-10-2019,25,4th Week,10,Q4,2019
D000341,01-03-2014,1,1st Week,3,Q1,2014
D000342,12-06-2017,12,2nd Week,6,Q2,2017
D000343,30-12-2017,30,4th Week,12,Q4,2017
D000344,13-02-2018,13,2nd Week,2,Q1,2018
D000345,24-07-2014,24,4th Week,7,Q3,2014
D000346,20-08-2018,20,3rd Week,8,Q3,2018
D000347,20-01-2016,20,3rd Week,1,Q1,2016
D000348,10-09-2020,10,2nd Week,9,Q3,2020
D000349,26-01-2018,26,4th Week,1,Q1,2018
D000350,09-03-2020,9,2nd Week,3,Q1,2020
D000351,03-10-2014,3,1st Week,10,Q4,2014
D000352,20-11-2016,20,3rd Week,11,Q4,2016
D000353,29-10-2016,29,4th Week,10,Q4,2016
D000354,11-07-2019,11,2nd Week,7,Q3,2019
D000355,29-07-2019,29,4th Week,7,Q3,2019
D000356,27-06-2015,27,4th Week,6,Q2,2015
D000357,21-06-2014,21,3rd Week,6,Q2,2014
D000358,22-01-2018,22,4th Week,1,Q1,2018
D000359,17-06-2020,17,3rd Week,6,Q2,2020
D000360,26-10-2019,26,4th Week,10,Q4,2019
D000361,28-06-2018,28,4th Week,6,Q2,2018
D000362,24-06-2019,24,4th Week,6,Q2,2019
D000363,20-06-2018,20,3rd Week,6,Q2,2018
D000364,12-11-2020,12,2nd Week,11,Q4,2020
D000365,15-12-2018,15,3rd Week,12,Q4,2018
D000366,28-10-2019,28,4th Week,10,Q4,2019
D000367,09-04-2014,9,2nd Week,4,Q2,2014
D000368,06-12-2014,6,1st Week,12,Q4,2014
D000369,07-11-2015,7,1st Week,11,Q4,2015
D000370,18-03-2017,18,3rd Week,3,Q1,2017
D000371,21-08-2014,21,3rd Week,8,Q3,2014
D000372,30-10-2018,30,4th Week,10,Q4,2018
D000373,21-07-2020,21,3rd Week,7,Q3,2020
D000374,10-05-2018,10,2nd Week,5,Q2,2018
D000375,29-12-2017,29,4th Week,12,Q4,2017
D000376,05-07-2020,5,1st Week,7,Q3,2020
D000377,27-03-2017,27,4th Week,3,Q1,2017
D000378,14-08-2020,14,2nd Week,8,Q3,2020
D000379,02-08-2017,2,1st Week,8,Q3,2017
D000380,13-05-2014,13,2nd Week,5,Q2,2014
D000381,16-12-2019,16,3rd Week,12,Q4,2019
D000382,25-10-2020,25,4th Week,10,Q4,2020
D000383,15-03-2016,15,3rd Week,3,Q1,2016
D000384,16-07-2015,16,3rd Week,7,Q3,2015
D000385,12-04-2016,12,2nd Week,4,Q2,2016
D000386,21-09-2014,21,3rd Week,9,Q3,2014
D000387,28-07-2014,28,4th Week,7,Q3,2014
D000388,11-12-2015,11,2nd Week,12,Q4,2015
D000389,05-10-2018,5,1st Week,10,Q4,2018
D000390,12-12-2020,12,2nd Week,12,Q4,2020
D000391,01-09-2018,1,1st Week,9,Q3,2018
D000392,25-05-2014,25,4th Week,5,Q2,2014
D000393,06-08-2019,6,1st Week,8,Q3,2019
D000394,19-12-2017,19,3rd Week,12,Q4,2017
D000395,26-07-2019,26,4th Week,7,Q3,2019
D000396,13-02-2017,13,2nd Week,2,Q1,2017
D000397,15-06-2016,15,3rd Week,6,Q2,2016
D000398,03-05-2017,3,1st Week,5,Q2,2017
D000399,16-07-2014,16,3rd Week,7,Q3,2014
D000400,06-03-2019,6,1st Week,3,Q1,2019
D000401,24-10-2015,24,4th Week,10,Q4,2015
D000402,18-06-2015,18,3rd Week,6,Q2,2015
D000403,31-07-2016,31,4th Week,7,Q3,2016
D000404,10-06-2018,10,2nd Week,6,Q2,2018
D000405,22-02-2019,22,4th Week,2,Q1,2019
D000406,02-02-2015,2,1st Week,2,Q1,2015
D000407,24-06-2017,24,4th Week,6,Q2,2017
D000408,23-07-2018,23,4th Week,7,Q3,2018
D000409,02-02-2014,2,1st Week,2,Q1,2014
D000410,19-02-2019,19,3rd Week,2,Q1,2019
D000411,25-06-2018,25,4th Week,6,Q2,2018
D000412,22-05-2018,22,4th Week,5,Q2,2018
D000413,07-03-2016,7,1st Week,3,Q1,2016
D000414,12-12-2014,12,2nd Week,12,Q4,2014
D000415,17-11-2018,17,3rd Week,11,Q4,2018
D000416,07-02-2018,7,1st Week,2,Q1,2018
D000417,15-01-2021,15,3rd Week,1,Q1,2021
D000418,17-05-2015,17,3rd Week,5,Q2,2015
D000419,11-06-2018,11,2nd Week,6,Q2,2018
D000420,08-03-2020,8,2nd Week,3,Q1,2020
D000421,28-12-2017,28,4th Week,12,Q4,2017
D000422,16-09-2017,16,3rd Week,9,Q3,2017
D000423,01-02-2020,1,1st Week,2,Q1,2020
D000424,28-12-2020,28,4th Week,12,Q4,2020
D000425,01-01-2020,1,1st Week,1,Q1,2020
D000426,21-09-2018,21,3rd Week,9,Q3,2018
D000427,19-06-2014,19,3rd Week,6,Q2,2014
D000428,23-07-2016,23,4th Week,7,Q3,2016
D000429,07-06-2018,7,1st Week,6,Q2,2018
D000430,19-02-2018,19,3rd Week,2,Q1,2018
D000431,19-01-2017,19,3rd Week,1,Q1,2017
D000432,20-08-2017,20,3rd Week,8,Q3,2017
D000433,14-04-2020,14,2nd Week,4,Q2,2020
D000434,24-08-2016,24,4th Week,8,Q3,2016
D000435,28-02-2014,28,4th Week,2,Q1,2014
D000436,08-05-2018,8,2nd Week,5,Q2,2018
D000437,12-05-2020,12,2nd Week,5,Q2,2020
D000438,15-07-2019,15,3rd Week,7,Q3,2019
D000439,26-01-2015,26,4th Week,1,Q1,2015
D000440,17-12-2016,17,3rd Week,12,Q4,2016
D000441,05-03-2015,5,1st Week,3,Q1,2015
D000442,19-03-2014,19,3rd Week,3,Q1,2014
D000443,16-09-2019,16,3rd Week,9,Q3,2019
D000444,17-03-2016,17,3rd Week,3,Q1,2016
D000445,29-09-2017,29,4th Week,9,Q3,2017
D000446,28-04-2015,28,4th Week,4,Q2,2015
D000447,06-08-2017,6,1st Week,8,Q3,2017
D000448,01-01-2017,1,1st Week,1,Q1,2017
D000449,11-07-2017,11,2nd Week,7,Q3,2017
D000450,19-09-2017,19,3rd Week,9,Q3,2017
D000451,30-04-2014,30,4th Week,4,Q2,2014
D000452,03-03-2020,3,1st Week,3,Q1,2020
D000453,15-06-2014,15,3rd Week,6,Q2,2014
D000454,04-07-2018,4,1st Week,7,Q3,2018
D000455,10-12-2016,10,2nd Week,12,Q4,2016
D000456,25-08-2019,25,4th Week,8,Q3,2019
D000457,04-03-2014,4,1st Week,3,Q1,2014
D000458,13-09-2017,13,2nd Week,9,Q3,2017
D000459,22-05-2020,22,4th Week,5,Q2,2020
D000460,29-12-2019,29,4th Week,12,Q4,2019
D000461,30-07-2018,30,4th Week,7,Q3,2018
D000462,26-05-2016,26,4th Week,5,Q2,2016
D000463,11-06-2020,11,2nd Week,6,Q2,2020
D000464,15-06-2015,15,3rd Week,6,Q2,2015
D000465,22-02-2014,22,4th Week,2,Q1,2014
D000466,03-01-2015,3,1st Week,1,Q1,2015
D000467,20-04-2018,20,3rd Week,4,Q2,2018
D000468,05-04-2020,5,1st Week,4,Q2,2020
D000469,12-08-2020,12,2nd Week,8,Q3,2020
D000470,27-03-2014,27,4th Week,3,Q1,2014
D000471,19-11-2016,19,3rd Week,11,Q4,2016
D000472,16-12-2020,16,3rd Week,12,Q4,2020
D000473,26-11-2016,26,4th Week,11,Q4,2016
D000474,21-04-2020,21,3rd Week,4,Q2,2020
D000475,29-06-2018,29,4th Week,6,Q2,2018
D000476,09-11-2017,9,2nd Week,11,Q4,2017
D000477,11-07-2020,11,2nd Week,7,Q3,2020
D000478,12-12-2015,12,2nd Week,12,Q4,2015
D000479,08-01-2020,8,2nd Week,1,Q1,2020
D000480,27-03-2019,27,4th Week,3,Q1,2019
D000481,01-08-2019,1,1st Week,8,Q3,2019
D000482,13-10-2014,13,2nd Week,10,Q4,2014
D000483,14-09-2014,14,2nd Week,9,Q3,2014
D000484,29-12-2018,29,4th Week,12,Q4,2018
D000485,25-04-2015,25,4th Week,4,Q2,2015
D000486,10-12-2017,10,2nd Week,12,Q4,2017
D000487,04-11-2016,4,1st Week,11,Q4,2016
D000488,13-09-2016,13,2nd Week,9,Q3,2016
D000489,06-05-2014,6,1st Week,5,Q2,2014
D000490,25-12-2017,25,4th Week,12,Q4,2017
D000491,28-05-2016,28,4th Week,5,Q2,2016
D000492,01-05-2015,1,1st Week,5,Q2,2015
D000493,11-08-2014,11,2nd Week,8,Q3,2014
D000494,20-01-2018,20,3rd Week,1,Q1,2018
D000495,29-03-2016,29,4th Week,3,Q1,2016
D000496,16-01-2018,16,3rd Week,1,Q1,2018
D000497,22-11-2015,22,4th Week,11,Q4,2015
D000498,15-02-2016,15,3rd Week,2,Q1,2016
D000499,04-04-2019,4,1st Week,4,Q2,2019
D000500,03-12-2019,3,1st Week,12,Q4,2019
D000501,30-10-2014,30,4th Week,10,Q4,2014
D000502,17-12-2015,17,3rd Week,12,Q4,2015
D000503,24-10-2018,24,4th Week,10,Q4,2018
D000504,28-01-2016,28,4th Week,1,Q1,2016
D000505,28-02-2017,28,4th Week,2,Q1,2017
D000506,30-05-2019,30,4th Week,5,Q2,2019
D000507,20-03-2018,20,3rd Week,3,Q1,2018
D000508,19-07-2018,19,3rd Week,7,Q3,2018
