warehouse_key,name,phone,continent,country,country_code,city,address,latitude,longitude
W00016,H&M La Colina,01-800-5190076,South America,Colombia,CO,Bogota,"Centro Comercial Parque La Colina, Avenida Carrera 72, UPZs de Bogotá, Localidad Suba, Bogotá, Bogotá, Distrito Capital, RAP (Especial) Central, 111156, Colombia",4.732019231909,-74.06680482841114
W00017,H&M Fontanar,01-800-5190076,South America,Colombia,CO,"Chia, Chia","Centro Comercial Fontanar, Vía Chía - Cajicá, Sector el cuarenta, Bojacá, Chía, Sabana Centro, Cundinamarca, RAP (Especial) Central, 250008, Colombia",4.885416,-74.035608
W00018,H&M MultiPlaza,01-800-5190076,South America,Colombia,CO,Bogota,"Multi Plaza, Avenida Calle 17, Zentral, UPZs Localidad Fontibón, Localidad Fontibón, Bogotá, Bogotá Distrito Capital - Municipio, RAP (Especial) Central, 110931, Colombia",4.6513646217502,-74.12604517048169
W00019,H&M Plaza Central,01-800-5190076,South America,Colombia,CO,Bogota,"Plaza Central, Carrera 65, Salazar Gómez, UPZs de Bogotá, Localidad Puente Aranda, Bogotá, Bogotá, Distrito Capital, RAP (Especial) Central, 111611, Colombia",4.63179906988253,-74.1150759534089
W00020,H&M Viva Barranquilla,01-800-5190076,South America,Colombia,CO,Barranquilla,"Viva Mall, #87-50, Carrera 51B, Santa Mónica, Localidad Riomar, Perímetro Urbano Barranquilla, Barranquilla, Atlántico, RAP Caribe, 080020, Colombia",11.00831658929434,-74.82182480342442
W00021,H&M Centro Mayor,01-800-5190076,South America,Colombia,CO,Bogota,"TransMilenio, Campania, UPZs de Bogotá, Localidad Suba, Bogotá, Bogotá, Distrito Capital, RAP (Especial) Central, 111121, Colombia",4.7109886,-74.072092
W00022,H&M Parque Fabricato,01-800-519-0076,South America,Colombia,CO,Medellin,"Centro Comercial Parque Fabricato, Carrera 50, Manchester, Bello, Valle de Aburrá, Antioquia, RAP del Agua y la Montaña, 051053, Colombia",6.32553561728961,-75.55886059999467
W00023,C.C. H2Ocio,+34-901120084,Europe,Spain,ES,Madrid,"Calle de los Profesores Fuster y Menéndez, Rivas Este, Rivas-Vaciamadrid, Comunidad de Madrid, 28526, España",40.33673112309079,-3.53274822235107
W00024,C.C. y de Ocio Islazul,+34-901120084,Europe,Spain,ES,Madrid,"Centro Comercial Islazul, 1, Calle de la Calderilla, Buenavista, Carabanchel, Madrid, Comunidad de Madrid, 28054, España",40.36413852238851,-3.73758316040039
W00025,C.C. Las Arenas,+34-901120084,Europe,Spain,ES,L. Palmas de Gran Canaria,"Quinta Cumbre, Paseo del Príncipe de Asturias, Guanarteme, Las Palmas de Gran Canaria, Las Palmas, Canarias, 35010, España",28.12899234754029,-15.44918060302734
W00026,C.C. Tres Aguas,+34-901120084,Europe,Spain,ES,Alcorcón (Madrid),"Centro Comercial TresAguas, 20, Avenida de San Martín de Valdeiglesias, Urbanización Los Almendros, Norte, Alcorcón, Comunidad de Madrid, 28291, España",40.35867755464052,-3.83178234100342
W00027,C.C. Deiland,+34-901120084,Europe,Spain,ES,Lanzarote,"Multicines Deiland, Calle Chimidas, Playa Honda, San Bartolomé, Las Palmas, Canarias, 35509, España",28.95659493398558,-13.58733211346134
W00028,Parque Santiago 6,+34-901120084,Europe,Spain,ES,Adeje (Tenerife),"Avenida de Chayofita, Playa de las Américas, Los Cristianos, Arona, Santa Cruz de Tenerife, Canarias, 38650, España",28.05820226258412,-16.72032742003785
W00029,C.C. Siam Mall,+34-901120084,Europe,Spain,ES,Adeje (Tenerife),"Siam Mall Tenerife, 3, Avenida Siam, Siam Mall, La Caldera, Adeje, Santa Cruz de Tenerife, Canarias, 38670, España",28.06873002786408,-16.72223715285645
W00030,C.C. Plaza Río 2,+34-901120084,Europe,Spain,ES,Madrid,"Centro Comercial Plaza Río 2, 210, Avenida del Manzanares, Moscardó, Usera, Madrid, Comunidad de Madrid, 28026, España",40.390925,-3.701435
W00031,Market Central Da Vinci,+39-0632832333,Europe,Italy,IT,Roma (RM),"H&M, Via Enrico Fermi, Parco Commerciale Da Vinci, Fiumicino, Roma Capitale, Lazio, 00054, Italia",41.81065181840865,12.30007410049438
W00032,Centro Commerciale San Giuliano,+39-0632832389,Europe,Italy,IT,Milano (MI),"Via Massimo Gorki, Cascina Carlotta, Zivido, San Giuliano Milanese, Milano, Lombardia, 20098, Italia",45.38310970550263,9.3043041229248
W00033,Centro Commerciale Montecatini,+39-0632832426,Europe,Italy,IT,Montecatini,"46, Via Biscolla, Biscolla, Traversagna, Massa e Cozzile, Pistoia, Toscana, 51010, Italia",43.86361896983092,10.76655864715576
W00034,Quasar Village,+39-0632832442,Europe,Italy,IT,Perugia (PG),"Via Maria Sticco, Valliano, Chiugiana, Corciano, Perugia, Umbria, 06073, Italia",43.1237872,12.28925960000004
W00035,Centro Commerciale Vibo Center,+39-0632832478,Europe,Italy,IT,Vibo Valenzia,"Vibo Center, SS18, Jonadi, Vibo Valentia, 89052, Italia",38.65377306523363,16.05378141657718
W00036,Centro Commerciale Costaverde,+39-0632832516,Europe,Italy,IT,Montenero di Bisaccia,"Montenero di Bisaccia, Campobasso, Molise, 86036, Italia",41.9575175,14.78133090000006
W00037,Mega 2,+7-7272321434,Asia,Kazakhstan,KZ,Almaty,"MEGA Alma-Ata, 247А, Розыбакиев көшесі, Орбита, Бостандық ауданы, Алматы, 050060, Қазақстан",43.20221585235989,76.89210614655758
W00038,SEC Aport,+7-7273121400,Asia,Kazakhstan,KZ,Almaty,"Food Solutions, 17 К, Алматы, A10H6G1, Қазақстан",43.233863,76.777266
W00039,Schmiede Knauf Shopping Center,+352-80081040,Europe,Luxembourg,LU,Huldange,"Knauf Schmiede, 3, Op d'Schmëtt, Troisvierges, Canton Clervaux, 9964, Lëtzebuerg",50.180869,6.023903
W00040,Centro Santa Fe,+52-8000408555,North America,Mexico,MX,Ciudad de México,"Centro Santa Fe, Prolongación Vasco de Quiroga, Colonia La Rosita, Ciudad de México, Cuajimalpa de Morelos, Ciudad de México, 05320, México",19.36212588463893,-99.27253603935242
W00041,Centro Comercial Galerias Guadalajara,+52-8000408555,North America,Mexico,MX,Guadalajara,"McDonald's, Avenida Rafael Sanzio, Eucalipto Vallarta, Zapopan, Región Centro, Jalisco, 45020, México",20.67709563889652,-103.4312574460327
W00042,Antea Life Style Center,+52-8000408555,North America,Mexico,MX,"Querétaro, QA","Antea, Avenida 5 de Febrero, Delegación Félix Osores, Municipio de Querétaro, Querétaro, 76100, México",20.67549951936517,-100.43684132309568
W00043,Via Vallejo,+52-8000408555,North America,Mexico,MX,Ciudad de México,"Calle Poniente 122, Barrio de Cahuacaltzingo, Ciudad de México, Azcapotzalco, Ciudad de México, 02300, México",19.487642,-99.157994
W00044,"Paseo Altozano, Av. Montaña Monarca Norte #1000",+52-8000408555,North America,Mexico,MX,Morelia,"Avenida Paseo Altozano, Morelia, Michoacán, 58350, México",19.67208917,-101.16530576
W00045,Parque Comercial Toreo,+52-8000408555,North America,Mexico,MX,México,"Toreo Parque Central, 5, Periférico Boulevard Manuel Ávila Camacho, Lázaro Cárdenas, Naucalpan de Juárez, Estado de México, 53569, México",19.45415977,-99.21959996
W00046,H&M Fashion Drive / Plaza Fiesta San Agustín,+52-8000408555,North America,Mexico,MX,Monterrey,"Calle Zaragoza, Centro, Cadereyta Jiménez, Nuevo León, 67480, México",25.592172,-99.9961947
W00047,Calle Francisco I. Madero #26 & #28,+52-8000408555,North America,Mexico,MX,México,"Chillout, Calle Simón Bolívar, Barrio Chino, Centro, Ciudad de México, Cuauhtémoc, Ciudad de México, 06000, México",19.435368,-99.137947
W00048,Comercial Downtown Playa,+52-8000408555,North America,Mexico,MX,Playa del Carmen,"Hollister, local 1 2, Avenida 5 (Norte), Playa del Carmen, Solidaridad, Quintana Roo, 77710, México",20.627876,-87.071658
W00049,Galerias Serdán,+52-8000408555,North America,Mexico,MX,Puebla,"Galerias Serdan, 270, Avenida Hermanos Serdán, Puebla, Municipio de Puebla, Puebla, 72060, México",19.071291,-98.225592
W00050,Paseo Tollocan,+52-8000408555,North America,Mexico,MX,Toluca,"Galerías Toluca, Calle Primero de Mayo, Zona Industrial Toluca, Toluca, Estado de México, 50160, México",19.289841,-99.622593
W00051,Andamar,+52-8000408555,North America,Mexico,MX,Veracruz,"Plaza Andamar, Puente de la Amistad, De Las Américas, Boca del Río, Veracruz, 94298, México",19.13973552,-96.10215425
W00052,El Dorado,+52-8000408555,North America,Mexico,MX,Veracruz,"Carretera Federal Córdoba - Veracruz, Colonia Río Jamapa, Rivera de la Condesa, Boca del Río, Veracruz, 94290, México",19.096058,-96.106912
W00053,Galerias Mazatlan,+52-8000408555,North America,Mexico,MX,Mazatlan,"Galerías Mazatlán;Sears, Avenida del Delfín, Mediterráneo Club Residencial, Marina Mazatlán, Mazatlán, Sinaloa, 82000, México",23.278444,-106.44848000000002
W00054,Sor Juana Inés de La Cruz #232 & 280,+52-8000408555,North America,Mexico,MX,México,"Avenida Sor Juana Inés De La Cruz, Tlalnepantla, Tlalnepantla de Baz, Estado de México, 54060, México",19.539482,-99.205448
W00055,Cosmopol,+52-8000408555,North America,Mexico,MX,México,"Cosmopol, Carretera Vía José López Portillo, Coacalco de Berriozábal, Tultitlán, Estado de México, 55717, México",19.631721,-99.12499
W00056,H&M Puerto Cancun,+52-8000408555,North America,Mexico,MX,Cancún,"Green Motion Car Rental, Distrito 1, Cancún, Benito Juárez, Quintana Roo, 77503, México",21.161908,-86.85152790000001
W00057,H&M Mundo E Blvd Manuel Avila Camacho,+52-8000408555,North America,Mexico,MX,Tlalnepantla de Baz,"Avenida Mario Colín, Tlalnepantla, Tlalnepantla de Baz, Estado de México, 54150, México",19.5345279,-99.1907364
W00058,Fashion Mall Tuxtla - Local SA-02,+52-8000408555,North America,Mexico,MX,Tuxtla Gutiérrez,"Tuxtla Gutiérrez, Chiapas, 29050, México",16.7167712,-93.18298679999998
W00059,Esfera City Center,+52-8000408555,North America,Mexico,MX,San Pedro Garza García,"Avenida la Rioja, Monterrey, Nuevo León, 64988, México",25.5781055,-100.2443624
W00060,Barranca del Muerto,+52-8000408555,North America,Mexico,MX,México,"Portal San Ángel, Anillo Periférico, Los Alpes, Ciudad de México, Álvaro Obregón, Ciudad de México, 01010, México",19.3607061,-99.1895834
W00061,Centro Comercial Plaza Mayor,+52-8000408555,North America,Mexico,MX,Leon,"288, Circuito del Moral, Del Moral, León, Guanajuato, 37125, México",21.157186,-101.68596049999996
W00062,Plaza Cibeles,+52-8000408555,North America,Mexico,MX,Irapuato,"Plaza Cibeles, 1443, Avenida Héroes de Nacozari, Plaza Cibeles, Irapuato, Guanajuato, 36670, México",20.6804233,-101.3796324
W00063,Parque Tezontle,+52-8000408555,North America,Mexico,MX,Ciudad de México,"Avenida Río Soto La Marina, Colonia Real del Moral, Ciudad de México, Iztapalapa, Ciudad de México, 09020, México",19.385365,-99.082048
W00064,Perisur,+52-8000408555,North America,Mexico,MX,México,"Plaza de la Constitución, Francisco I. Madero, Centro, Ciudad de México, Cuauhtémoc, Ciudad de México, 06000, México",19.4326077,-99.13320799999995
W00065,Manacar,+52-8000408555,North America,Mexico,MX,México,"34, Calle Murcia, Actipan, Ciudad de México, Benito Juárez, Ciudad de México, 03920, México",19.370217,-99.180954
W00066,Punto La Victoria,+52-8000408555,North America,Mexico,MX,"Querétaro, QA","Avenida Guadalupe, Santa Isabel, Delegación Felipe Carrillo Puerto, Municipio de Querétaro, Querétaro, 76113, México",20.6171767,-100.4581104
W00067,Paseo Interlomas,+52-8000408555,North America,Mexico,MX,México,"Paseo Interlomas, Avenida Club de Golf Lomas, Colonia Bosque Real, Interlomas, Huixquilucan, Estado de México, 52760, México",19.399091,-99.283671
W00068,Averanda,+52-8000408555,North America,Mexico,MX,Cuernavaca,"Cuidado Con El Perro, Libramiento Cuernavaca, Villas del Lago, Cuernavaca, Morelos, 62370, México",18.934095,-99.197414
W00069,H&M Galerias Atizapan,+52-8000408555,North America,Mexico,MX,Atizapán de Zaragoza,"Studio F, Avenida Adolfo Ruiz Cortinez, Las Margaritas, Atizapán de Zaragoza, Estado de México, 52977, México",19.549717,-99.274221
W00070,Galerias Valle Oriente,+52-8000408555,North America,Mexico,MX,Monterrey,"Privada Paseo de la Esperanza, Valle del Mirador, Monterrey, Nuevo León, 64750, México",25.6394185,-100.3112024
W00071,Parque Delta,+52-8000408555,North America,Mexico,MX,Benito Juárez Narvarte,"Calle Pitágoras, Colonia Narvarte Poniente, Ciudad de México, Benito Juárez, Ciudad de México, 03020, México",19.3923907,-99.15806929999997
W00072,"Boulevard Francisco Medina Ascencio,",+52-8000408555,North America,Mexico,MX,Puerto Vallarta,"Pitillal, Puerto Vallarta, Región Costa Norte, Jalisco, 48300, México",20.653407,-105.2253316
W00073,Galerías Saltillo,+52-8000408555,North America,Mexico,MX,Saltillo,"AT&T, Avenida Real San Agustín, Residencial San Agustin, San Pedro Garza García, Nuevo León, 66260, México",25.649089,-100.338928
W00074,Galerías Pachuca,+52-8000408555,North America,Mexico,MX,Pachuca,"Plaza Galerias Pachuca, Boulevard Felipe Ángeles, Pachuca, Pachuca de Soto, Hidalgo, 42084, México",20.098473,-98.768106
W00075,Galerías Mérida,+52-8000408555,North America,Mexico,MX,Mérida,"Centro De Atencíon A Clientes Telcel, Calle 41, Xcumpich, Mérida, Yucatán, 92704, México",21.039654,-89.630809
W00076,Plaza Cumbres,+52-8000408555,North America,Mexico,MX,Monterrey,"Cinepolis, Avenida Hacienda de Peñuelas, Monterrey, Nuevo León, 64619, México",25.733179,-100.396827
W00077,Malecon Cancun,+52-8000408555,North America,Mexico,MX,Cancún,"Green Motion Car Rental, Distrito 1, Cancún, Benito Juárez, Quintana Roo, 77503, México",21.161908,-86.85152790000001
W00078,Parque Puebla,+52-8000408555,North America,Mexico,MX,Puebla,"Parque Puebla, Circuito Monte Líbano, Puebla, Municipio de Puebla, Puebla, 72220, México",19.071141,-98.172956
W00079,Galerías Laguna,+52-8000408555,North America,Mexico,MX,Torreon,"Cerveceria Corona, Avenida Allende, Torreón, Coahuila, 27289, México",25.5428443,-103.40678609999998
W00080,"Anillo Vial Fray Junipero Serra No. 7901,",+52-8000408555,North America,Mexico,MX,"Querétaro, QA","Paseo Querétaro, Anillo Vial Fray Junípero Serra 7901, La Purisima, 76146 Santiago de Querétaro, QRO, Mexico, Anillo Vial Junípero Serra, Vista Hermosa, Delegación Epigmenio González, La Purísima, Municipio de Querétaro, Querétaro, 76146, México",20.6310072,-100.3560229
W00081,Jacarandas 103,+52-8000408555,North America,Mexico,MX,Cuernavaca,"Avenida Plan de Ayala, Jacarandas, Cuernavaca, Morelos, 62448, México",18.9242095,-99.22156590000004
W00082,Fashion Mall Chihuahua,+52-8000408555,North America,Mexico,MX,Chihuahua,"Fashion Mall, 3400, Periférico de la Juventud, Chihuahua, Municipio de Chihuahua, Chihuahua, 31236, México",28.6227185,-106.1149658
W00083,Galerias Monterrey,+52-8000408555,North America,Mexico,MX,Monterrey,"Liverpool, 550, Avenida Doctor José Eleuterio González, San Jerónimo, Monterrey, Nuevo León, 64620, México",25.6817958,-100.353752
W00084,Westfield Newmarket,+64-800406700,Oceania,New Zealand,NZ,Auckland,"Cinderella Beauty & Spa, 277, Broadway, Newmarket, Auckland, Waitematā, Auckland, 1023, New Zealand / Aotearoa",-36.8708538,174.7759363
W00085,Wola Park,+48-225334457,Europe,Poland,PL,Warsaw,"C&A, 124, Górczewska, Koło, Wola, Warszawa, województwo mazowieckie, 01-460, Polska",52.2413843,20.9312364
W00086,Atrium Reduta,+48-225725540,Europe,Poland,PL,Warsaw,"Atrium Reduta, 148, Aleje Jerozolimskie, Szczęśliwice, Ochota, Warszawa, województwo mazowieckie, 02-326, Polska",52.2125406,20.9515792
W00087,Centrum Janki,+48-227358240,Europe,Poland,PL,Warsaw,"Centrum Handlowe Janki, 3, Mszczonowska, Janki Duże, Janki, gmina Raszyn, powiat pruszkowski, województwo mazowieckie, 05-090, Polska",52.134109,20.888499
W00088,CH Galaxy,+48-914646140,Europe,Poland,PL,Szczecin,"Basilia, 18, aleja Wyzwolenia, Centrum, Śródmieście, Szczecin, województwo zachodniopomorskie, 70-554, Polska",53.4343,14.55504
W00089,DH Merkury,+48-713472140,Europe,Poland,PL,Wroclaw,"H&M, 7, Świdnicka, Dzielnica Czterech Wyznań, Stare Miasto, Wrocław, województwo dolnośląskie, 50-067, Polska",51.1081921,17.0322989
W00090,Alfa,+48-585116540,Europe,Poland,PL,Gdansk,"Triumph, 41C, Kołobrzeska, Mała Warszawa, Przymorze Małe, Gdańsk, województwo pomorskie, 80-391, Polska",54.40446571694857,18.58850083196523
W00091,CH Arkadia,+48-225306240,Europe,Poland,PL,Warsaw,"Westfield Arkadia, 82, Aleja Jana Pawła II, Osiedle Stawki, Muranów, Śródmieście, Warszawa, województwo mazowieckie, 00-175, Polska",52.25802,20.98305
W00092,Klif,+48-586685240,Europe,Poland,PL,Gdynia,"Luxury & Me, Przebendowskich, Kolibki, Orłowo, Gdynia, województwo pomorskie, 81-540, Polska",54.47529442874922,18.55190895578596
W00093,Galeria Kazimierz,+48-124249540,Europe,Poland,PL,Krakow,"Galeria Kazimierz, 34, Podgórska, Grzegórzki, Kraków, województwo małopolskie, 31-536, Polska",50.053412,19.95582
W00094,CH M1 Czeladz,+48-323632240,Europe,Poland,PL,Czeladz,"Centrum Handlowe M1, 80, Będzińska, Czeladź, powiat będziński, Górnośląsko-Zagłębiowska Metropolia, województwo śląskie, 41-250, Polska",50.318832,19.105564
W00095,Manufaktura,+48-426391040,Europe,Poland,PL,Lodz,"Centrum Handlowo-Rozrywkowe Manufaktura, 58, Drewnowska, Bałuty-Centrum, Stare Miasto, Łódź-Bałuty, Łódź, województwo łódzkie, 91-002, Polska",51.779856,19.446142
W00096,Aura,+48-895443740,Europe,Poland,PL,Olsztyn,"Aura Centrum Olsztyna, 16, Aleja Marszałka Józefa Piłsudskiego, Śródmieście, Olsztyn, województwo warmińsko-mazurskie, 10-576, Polska",53.77752334004569,20.4827065490781
W00097,CH King Cross Marcelin,+48-618468940,Europe,Poland,PL,Poznan,"King Cross Marcelin, 156, Bukowska, Marcelin, Ławica, Poznań, województwo wielkopolskie, 60-198, Polska",52.41082,16.8615168
W00098,CH Plaza,+48-618274940,Europe,Poland,PL,Poznan,"Poznań Plaza, 2, Kaspra Drużbickiego, Trójpole, Winiary, Poznań, województwo wielkopolskie, 61-693, Polska",52.44068,16.91914
W00099,CH Plejada Sosnowiec,+48-323631040,Europe,Poland,PL,Sosnowiec,"Hottu, 8b, Stanisława Staszica, Konstantynów, Środula, Sosnowiec, Górnośląsko-Zagłębiowska Metropolia, województwo śląskie, 41-200, Polska",50.290594,19.152635
W00100,CH M1 Zabrze,+48-323737440,Europe,Poland,PL,Zabrze,"Centrum Handlowe M1, 1, Plutonowego Ryszarda Szkubacza, Maciejów, Zabrze, Górnośląsko-Zagłębiowska Metropolia, 41-800, Polska",50.317189,18.750347
W00101,CH Trzy Stawy,+48-323574540,Europe,Poland,PL,Katowice,"H&M, 60, Generała Kazimierza Pułaskiego, Dolina Trzech Stawów, Osiedle Paderewskiego-Muchowiec, Katowice, Górnośląsko-Zagłębiowska Metropolia, 40-028, Polska",50.242778,19.036809
W00102,Galeria Pomorska,+48-523393840,Europe,Poland,PL,Bydgoszcz,"Action, Fabryczna, Bydgoszcz Wschód, Bydgoszcz Wschód - Siernieczek, Bydgoszcz, województwo kujawsko-pomorskie, 85-741, Polska",53.12524720776188,18.06707739222873
W00103,Atrium Copernicus,+48-566120540,Europe,Poland,PL,Torun,"Galeria Copernicus, 15, Hetmana Stanisława Żółkiewskiego, Jakubskie Przedmieście, Toruń, województwo kujawsko-pomorskie, 87-100, Polska",53.025522,18.636331
W00104,CH Plaza Rybnik,+48-324395040,Europe,Poland,PL,Rybnik,"CARRY, 16, Raciborska, Osiedle Sławików, Smolna, Śródmieście, Rybnik, województwo śląskie, 44-200, Polska",50.096053,18.537209
W00105,Atrium Plejada,+48-323969940,Europe,Poland,PL,Bytom,"CH Atrium Plejada, 25, Aleja Jana Nowaka-Jeziorańskiego, Karb, Bytom, Górnośląsko-Zagłębiowska Metropolia, województwo śląskie, 41-923, Polska",50.346688,18.849681
W00106,CH Pasaż Grunwaldzki,+48-713958040,Europe,Poland,PL,Wroclaw,"Pasaż Grunwaldzki, 22, plac Grunwaldzki, Manhattan, Plac Grunwaldzki, Wrocław, województwo dolnośląskie, 50-363, Polska",51.11268,17.0591
W00107,CH Plaza Lublin,+48-815366740,Europe,Poland,PL,Lublin,"Lublin Plaza, 13, Lipowa, Śródmieście, Lublin, województwo lubelskie, 20-020, Polska",51.24469,22.55131
W00108,CH Forum Gliwice,+48-323397840,Europe,Poland,PL,Gliwice,"Piwna, Zatorze, Śródmieście, Gliwice, Górnośląsko-Zagłębiowska Metropolia, województwo śląskie, 44-102, Polska",50.300197,18.682372
W00109,Auchan Piaseczno,+48-227375440,Europe,Poland,PL,Piaseczno,"Centrum Handlowe Auchan Piaseczno, 46, Puławska, Piaseczno, gmina Piaseczno, powiat piaseczyński, województwo mazowieckie, 05-500, Polska",52.096745,21.022828
W00110,Galeria Baltycka,+48-585207640,Europe,Poland,PL,Gdansk,"H&M, 141, Aleja Grunwaldzka, Strzyża Dolna, Wrzeszcz Górny, Gdańsk, województwo pomorskie, 80-264, Polska",54.38214152047271,18.60136850489664
W00111,Galeria Łódzka,+48-426630440,Europe,Poland,PL,Lodz,"Galeria Łódzka, 15/23, Aleja Marszałka Józefa Piłsudskiego, Katedralna, Centrum, Łódź-Śródmieście, Łódź, województwo łódzkie, 90-051, Polska",51.75942,19.465563
W00112,Focus Park,+48-525543970,Europe,Poland,PL,Bydgoszcz,"Focus Mall Bydgoszcz, 39-47, Jagiellońska, Sielanka, Śródmieście-Bocianowo-Stare Miasto, Bydgoszcz, województwo kujawsko-pomorskie, 85-097, Polska",53.12473972315281,18.01783390854575
W00113,Alfa Bialystok,+48-857496040,Europe,Poland,PL,Bialystok,"Alfa Centrum, 15, Świętojańska, Centrum, Białystok, województwo podlaskie, 15-277, Polska",53.12549,23.169018
W00114,CH Karolinka,+48-774024740,Europe,Poland,PL,Opole,"Centrum Handlowe Karolinka, 154, Wrocławska, Półwieś, Opole, województwo opolskie, 45-835, Polska",50.68278,17.87652
W00115,Krupowki,+48-182021640,Europe,Poland,PL,Zakopane,"49, Krupówki, Łukaszówki, Zakopane, powiat tatrzański, województwo małopolskie, 34-500, Polska",49.293115,19.956023
W00116,Galeria Piastów,+48-767212940,Europe,Poland,PL,Legnica,"22, Najświętszej Marii Panny, Stare Miasto, Przedmieście Głogowskie, Legnica, województwo dolnośląskie, 59-220, Polska",51.20935,16.16493
W00117,Galeria Tarnovia,+48-146466340,Europe,Poland,PL,Tarnów,"Galeria Tarnovia, 149, Krakowska, Kolonia Kolejowa, Krakowska, Tarnów, województwo małopolskie, 33-110, Polska",50.000924,20.957762
W00118,CH Ferio,+48-632474140,Europe,Poland,PL,Konin,"CH Ferio, 31a, Ogrodowa, Stare Miasto, gmina Stare Miasto, powiat koniński, województwo wielkopolskie, 62-571, Polska",52.18278,18.23168
W00119,CH Plaza,+48-756496840,Europe,Poland,PL,Zgorzelec,"H&M, 52A, Armii Krajowej, Zgorzelec, powiat zgorzelecki, województwo dolnośląskie, 59-900, Polska",51.15255,15.026
W00120,Torun Plaza,+48-566424140,Europe,Poland,PL,Torun,"Toruń Plaza, 90, Władysława Broniewskiego, Osiedle Mikołaja Reja, Bydgoskie Przedmieście, Toruń, województwo kujawsko-pomorskie, 87-100, Polska",53.015636,18.561561
W00121,CH Focus Park Zielona Góra,+48-684107940,Europe,Poland,PL,Zielona Góra,"Focus Park, 17, Wrocławska, Osiedle Tysiąclecia, Zielona Góra, województwo lubuskie, 65-427, Polska",51.9363014555422,15.51200866699219
W00122,Focus Park,+48-447159240,Europe,Poland,PL,Piotrków Trybunalski,"Focus Mall, 123, Juliusza Słowackiego, Osiedle Słowackiego Północ, Piotrków Trybunalski, województwo łódzkie, 97-300, Polska",51.41054,19.6675
